summoner,matchId,champion,gameTime,win,kills,deaths,assists,KDA_ratio,gold_earned,CS_total,CS_per_min,G_per_min,XP_per_min,Vision_total,Vision_per_min,Damage_to_Champions,Damage_per_min,Damage_Taken,Damage_per_Gold,Kill_Participation_%,CS_0_15,Gold_0_15,XP_0_15,CS_per_min_0_15,Gold_per_min_0_15,XP_per_min_0_15,LaneDiff_CS_0_15,LaneDiff_Gold_0_15,LaneDiff_XP_0_15,LaneDiff_CS_End,LaneDiff_Gold_End,LaneDiff_XP_End
kiin#KR1,KR_7858237566,Rumble,29:27,False,4,5,8,2.4,11740,247,8.39,398.6,535.4,20,0.68,33507,1137.8,27734,2.854,66.7,145,5696,8614,9.67,379.7,574.3,22,1642,1371,-6,-2673,-2754
kiin#KR1,KR_7858135505,Ambessa,28:32,False,2,7,2,0.57,11374,218,7.64,398.6,473.4,14,0.49,15453,541.6,27662,1.359,28.6,119,4839,6596,7.93,322.6,439.7,7,25,-737,-74,-3701,-6299
kiin#KR1,KR_7858039791,Jayce,15:23,True,3,2,3,3.0,7045,139,9.04,458.0,485.1,8,0.52,11670,758.6,7039,1.656,31.6,135,6369,7257,9.0,424.6,483.8,30,2081,-215,34,2210,-9
kiin#KR1,KR_7825575593,Udyr,24:21,False,1,5,4,1.0,9014,191,7.84,370.2,554.7,13,0.53,15917,653.7,33082,1.766,29.4,122,5118,8012,8.13,341.2,534.1,25,461,1073,16,-659,856
kiin#KR1,KR_7825463188,Aurora,31:31,True,11,2,10,10.5,15993,252,8.0,507.4,604.3,24,0.76,33940,1076.9,25771,2.122,56.8,159,7775,9144,10.6,518.3,609.6,0,2390,313,-34,3397,776
kiin#KR1,KR_7825366375,Braum,21:01,True,1,4,26,6.75,7432,25,1.19,353.6,374.7,52,2.47,8411,400.2,21753,1.132,73.0,24,4296,4261,1.6,286.4,284.1,12,264,-126,12,1467,1649
kiin#KR1,KR_7825249759,RekSai,16:05,False,0,2,2,1.0,5803,129,8.02,360.8,487.5,12,0.75,10882,676.6,22630,1.875,25.0,115,4863,7172,7.67,324.2,478.1,-6,-180,-597,-3,-147,-717
kiin#KR1,KR_7823975973,Ambessa,30:24,True,5,4,8,3.25,13689,245,8.06,450.3,581.1,16,0.53,45513,1497.1,36905,3.325,41.9,137,5063,7798,9.13,337.5,519.9,27,189,1352,-20,595,2463
kiin#KR1,KR_7823928988,Alistar,27:03,False,1,8,11,1.5,6741,20,0.74,249.2,297.2,65,2.4,8117,300.1,32348,1.204,57.1,16,2860,4022,1.07,190.7,268.1,2,-118,411,-2,-488,-2240
kiin#KR1,KR_7823895747,Orianna,15:13,False,1,5,0,0.2,4829,116,7.62,317.3,442.7,8,0.53,8361,549.5,13405,1.731,25.0,111,4219,6522,7.4,281.3,434.8,-28,-3186,-1452,-23,-3103,-1297
kiin#KR1,KR_7823834435,Ambessa,20:02,True,6,0,5,11.0,10081,195,9.73,503.2,644.4,9,0.45,20619,1029.2,13751,2.045,61.1,147,6359,9181,9.8,423.9,612.1,44,2331,2533,61,4275,4002
kiin#KR1,KR_7823722104,Aurora,31:36,True,8,2,10,9.0,14634,249,7.88,463.1,609.5,44,1.39,41507,1313.5,26564,2.836,54.5,126,5930,8069,8.4,395.3,537.9,54,2844,2162,55,4931,5063
kiin#KR1,KR_7816298600,Maokai,31:49,False,2,9,22,2.67,9774,38,1.19,307.2,353.1,94,2.95,22124,695.4,39836,2.264,80.0,16,3954,3931,1.07,263.6,262.1,3,134,-538,6,30,-2349
kiin#KR1,KR_7816258188,Galio,20:26,True,3,0,3,6.0,9190,191,9.35,449.8,587.5,15,0.73,10726,524.9,11878,1.167,33.3,140,5273,7743,9.33,351.5,516.2,17,785,172,34,2141,2044
kiin#KR1,KR_7816188475,Gnar,39:35,False,7,5,9,3.2,18130,335,8.46,458.0,536.6,38,0.96,38796,980.1,47100,2.14,64.0,140,6535,8170,9.33,435.7,544.7,40,2453,1766,88,2949,-24
kiin#KR1,KR_7816152377,Ambessa,23:25,False,3,5,0,0.6,8621,164,7.0,368.2,480.0,13,0.56,19050,813.5,24767,2.21,27.3,103,4791,6982,6.87,319.4,465.5,-38,-805,-1496,-53,-1724,-3102
kiin#KR1,KR_7816115341,Sylas,16:59,False,1,3,4,1.67,6048,117,6.89,356.1,415.5,11,0.65,7406,436.1,20609,1.225,62.5,105,4951,6175,7.0,330.1,411.7,-9,-1141,-1102,-11,-2250,-1755
kiin#KR1,KR_7815524494,Ambessa,31:31,False,1,7,5,0.86,10238,227,7.2,324.8,447.5,25,0.79,24680,783.1,33233,2.411,26.1,112,4631,7246,7.47,308.7,483.1,-21,-261,-584,-15,-1853,-1643
kiin#KR1,KR_7815485067,Smolder,20:39,True,4,2,4,4.0,9784,187,9.06,473.8,556.7,19,0.92,16946,820.6,10615,1.732,25.8,149,6476,8090,9.93,431.7,539.3,60,2433,1741,49,3253,2283
kiin#KR1,KR_7815422943,Aurora,28:37,True,11,4,10,5.25,15257,221,7.72,533.2,624.2,27,0.94,45485,1589.5,31384,2.981,72.4,152,5669,8482,10.13,377.9,565.5,25,1206,666,36,6068,4319
kiin#KR1,KR_7815343525,Ryze,28:58,True,11,6,5,2.67,15964,249,8.6,551.1,654.8,12,0.41,38003,1312.0,25910,2.381,53.3,158,5267,8180,10.53,351.1,545.3,39,736,418,61,5455,4682
kiin#KR1,KR_7815277322,Ambessa,23:46,True,10,3,7,5.67,12584,205,8.63,529.5,651.6,16,0.67,39934,1680.3,24202,3.173,45.9,148,6500,8904,9.87,433.3,593.6,39,2356,2010,49,4322,3929
kiin#KR1,KR_7815202407,Vladimir,28:38,True,4,5,2,1.2,12541,266,9.29,438.0,650.4,25,0.87,20740,724.3,29471,1.654,16.2,125,4587,7239,8.33,305.8,482.6,13,-758,-747,64,1573,4592
kiin#KR1,KR_7815146337,Ambessa,19:50,True,5,1,1,6.0,9211,186,9.38,464.4,649.2,9,0.45,17567,885.7,13005,1.907,31.6,134,5316,8717,8.93,354.4,581.1,8,960,2009,-1,2311,2891
kiin#KR1,KR_7814355132,Sion,29:10,False,1,4,8,2.25,11191,274,9.39,383.7,582.2,20,0.69,29620,1015.5,50991,2.647,39.1,147,5174,8459,9.8,344.9,563.9,34,862,793,60,-1770,165
kiin#KR1,KR_7814320145,Jayce,29:04,True,7,4,10,4.25,15273,247,8.5,525.4,635.8,23,0.79,31712,1091.0,24615,2.076,47.2,128,5065,7725,8.53,337.7,515.0,21,-1073,109,90,2265,4087
kiin#KR1,KR_7814287860,Mordekaiser,22:47,True,7,2,6,6.5,11024,192,8.43,483.9,623.4,13,0.57,19295,846.9,23147,1.75,26.0,145,6041,8360,9.67,402.7,557.3,30,1657,1309,31,3522,3355
kiin#KR1,KR_7814244603,Ambessa,27:59,False,8,7,5,1.86,12621,222,7.93,451.0,528.5,14,0.5,32790,1171.8,30498,2.598,56.5,132,5631,7599,8.8,375.4,506.6,20,26,800,25,952,-1083
kiin#KR1,KR_7814198628,Ambessa,25:08,True,7,2,9,8.0,10548,177,7.04,419.7,548.8,13,0.52,29072,1156.7,29991,2.756,43.2,106,4270,7326,7.07,284.7,488.4,-22,-757,42,18,1494,2819
kiin#KR1,KR_7814140862,Ambessa,26:18,False,2,6,2,0.67,9646,175,6.65,366.8,426.4,15,0.57,26511,1008.0,27722,2.748,28.6,83,3632,5255,5.53,242.1,350.3,-40,-1591,-2026,-21,-1062,-3575
JUGKlNG#kr,KR_7858254806,Ziggs,21:31,True,4,3,8,4.0,10385,181,8.41,482.6,492.1,20,0.93,18399,855.1,10553,1.772,50.0,123,6451,5626,8.2,430.1,375.1,21,978,-217,23,913,1376
JUGKlNG#kr,KR_7858143793,JarvanIV,26:40,False,3,8,5,1.0,10810,158,5.92,405.4,421.6,41,1.54,14262,534.8,37932,1.319,40.0,106,5087,5859,7.07,339.1,390.6,-9,-2111,-1415,-58,-5063,-5059
JUGKlNG#kr,KR_7832577123,Naafiri,23:18,False,6,4,4,2.5,10555,159,6.82,453.0,518.2,22,0.94,17729,760.9,31733,1.68,71.4,117,6299,7191,7.8,419.9,479.4,-13,-179,-594,-75,-3925,-4927
JUGKlNG#kr,KR_7832386229,Ezreal,28:24,True,8,6,19,4.5,14098,213,7.5,496.4,594.4,19,0.67,32319,1138.0,26142,2.292,48.2,110,5272,5650,7.33,351.5,376.7,9,-769,56,-3,-448,2594
JUGKlNG#kr,KR_7825604121,Bard,15:34,True,2,0,8,10.0,5071,12,0.77,325.8,315.7,32,2.06,4850,311.6,7806,0.956,55.6,12,4143,4512,0.8,276.2,300.8,-10,927,972,-10,1267,1348
JUGKlNG#kr,KR_7825495284,Sylas,18:21,True,4,3,7,3.67,8409,117,6.38,458.3,481.5,15,0.82,10289,560.7,20220,1.224,50.0,88,5028,5956,5.87,335.2,397.1,-22,-558,-366,-13,1110,949
JUGKlNG#kr,KR_7825373136,Jhin,25:16,False,4,6,5,1.5,10604,198,7.84,419.7,432.5,17,0.67,15820,626.1,18307,1.492,50.0,125,5059,5802,8.33,337.3,386.8,-13,-1354,-1308,-35,-3831,-4631
JUGKlNG#kr,KR_7825268802,Jhin,30:51,False,4,5,13,3.4,13322,252,8.17,431.8,485.2,25,0.81,25794,836.1,24989,1.936,58.6,128,4948,6355,8.53,329.9,423.7,42,927,1772,37,1768,875
JUGKlNG#kr,KR_7823963287,Jhin,30:15,True,7,6,13,3.33,14850,223,7.37,490.9,547.8,22,0.73,27003,892.7,18040,1.818,62.5,99,4369,4651,6.6,291.3,310.1,-15,-1655,-1165,-31,-1738,1221
JUGKlNG#kr,KR_7823929324,Jhin,16:06,True,9,2,5,7.0,8993,134,8.32,558.6,517.6,16,0.99,16067,998.0,10752,1.787,53.8,132,7123,7194,8.8,474.9,479.6,36,1363,1753,36,2570,2832
JUGKlNG#kr,KR_7823859785,Ziggs,27:44,True,7,2,10,8.5,13155,221,7.97,474.3,559.0,28,1.01,48161,1736.6,14772,3.661,63.0,124,5723,7365,8.27,381.5,491.0,-4,775,1379,4,1705,3707
JUGKlNG#kr,KR_7823753895,Qiyana,18:36,True,14,0,0,14.0,11157,169,9.09,599.8,638.5,38,2.04,13840,744.1,17426,1.24,60.9,135,7142,8336,9.0,476.1,555.7,15,1873,1566,26,4388,3662
JUGKlNG#kr,KR_7818450733,Zed,31:36,True,3,5,19,4.4,12426,220,6.96,393.2,521.6,41,1.3,18466,584.4,38411,1.486,56.4,119,5149,6761,7.93,343.3,450.7,22,24,682,22,-271,1856
JUGKlNG#kr,KR_7818342467,JarvanIV,18:14,True,2,1,6,8.0,7252,139,7.62,397.7,458.3,35,1.92,5354,293.6,19119,0.738,72.7,111,5122,6012,7.4,341.5,400.8,10,162,71,21,962,1368
JUGKlNG#kr,KR_7816270930,Ziggs,16:12,True,4,1,4,8.0,6574,128,7.9,405.8,479.6,13,0.8,14554,898.4,7372,2.214,57.1,118,4850,6605,7.87,323.3,440.3,-1,-208,615,4,757,1326
JUGKlNG#kr,KR_7816210870,Qiyana,31:40,True,10,4,16,6.5,14871,237,7.48,469.6,572.9,75,2.37,29210,922.4,39343,1.964,63.4,117,5788,7035,7.8,385.9,469.0,14,749,1473,61,4721,5164
JUGKlNG#kr,KR_7816189058,Qiyana,15:29,True,11,1,5,16.0,8402,120,7.75,542.6,516.9,25,1.61,11373,734.5,12349,1.354,64.0,120,7456,7555,8.0,497.1,503.7,19,2572,1979,19,2895,2215
JUGKlNG#kr,KR_7816140167,Sylas,29:32,False,4,6,6,1.67,10609,188,6.37,359.2,467.1,23,0.78,13350,452.0,37415,1.258,58.8,111,5572,6562,7.4,371.5,437.5,-11,131,-390,-7,-2913,-1341
JUGKlNG#kr,KR_7816084161,Jhin,31:14,False,6,6,9,2.5,12225,228,7.3,391.4,441.2,29,0.93,28640,917.0,21551,2.343,71.4,116,5237,6030,7.73,349.1,402.0,-12,343,-220,-43,-2797,-2844
JUGKlNG#kr,KR_7815555919,Jhin,28:09,True,5,4,15,5.0,11694,224,7.96,415.4,550.8,24,0.85,17616,625.8,18110,1.506,66.7,124,4650,5814,8.27,310.0,387.6,18,637,662,14,1005,3383
JUGKlNG#kr,KR_7815507584,Qiyana,29:52,False,11,5,11,4.4,13886,216,7.23,464.9,507.6,57,1.91,32677,1094.1,34280,2.353,84.6,124,6422,6819,8.27,428.1,454.6,49,2164,1858,20,107,-2917
JUGKlNG#kr,KR_7815455272,Qiyana,22:47,True,8,4,4,3.0,11118,173,7.59,488.0,510.8,51,2.24,21154,928.5,27288,1.903,50.0,114,6043,6846,7.6,402.9,456.4,30,763,1115,52,1630,1849
JUGKlNG#kr,KR_7815407151,Rakan,22:09,False,0,7,3,0.43,5083,19,0.86,229.5,252.6,56,2.53,7437,335.8,18660,1.463,50.0,12,2959,3226,0.8,197.3,215.1,-2,-304,209,5,-499,-1382
JUGKlNG#kr,KR_7815356328,Leona,19:41,False,0,7,6,0.86,4914,18,0.91,249.7,266.9,59,3.0,5410,274.9,14162,1.101,75.0,12,3394,3688,0.8,226.3,245.9,-9,-837,-665,-4,-1920,-1794
JUGKlNG#kr,KR_7815277322,Leona,23:46,True,3,6,16,3.17,8064,44,1.85,339.3,375.1,81,3.41,11611,488.5,21523,1.44,51.4,25,4551,4205,1.67,303.4,280.3,2,1054,760,19,1508,1064
JUGKlNG#kr,KR_7815196919,Leona,22:56,False,0,6,8,1.33,5776,31,1.35,251.9,288.7,56,2.44,7002,305.3,20451,1.212,61.5,20,3309,4410,1.33,220.6,294.0,3,-222,670,10,-1016,-1448
JUGKlNG#kr,KR_7815146337,Naafiri,19:50,False,6,2,2,4.0,8950,138,6.96,451.3,446.5,20,1.01,12890,649.9,20942,1.44,100.0,106,5912,6111,7.07,394.1,407.4,-1,612,161,-12,411,-668
JUGKlNG#kr,KR_7814375881,Aurora,39:14,False,9,10,14,2.3,17484,247,6.3,445.6,538.6,52,1.33,50768,1294.0,46714,2.904,67.6,118,5251,7339,7.87,350.1,489.3,1,-185,-746,11,2600,1301
JUGKlNG#kr,KR_7814317801,Alistar,31:36,False,1,8,28,3.62,8535,18,0.57,270.1,350.7,117,3.7,15100,477.8,41879,1.769,82.9,10,3483,3447,0.67,232.2,229.8,1,446,319,-2,-1231,-1865
JUGKlNG#kr,KR_7814269792,Leona,21:52,True,6,6,18,4.0,8535,15,0.69,390.3,459.8,55,2.52,9856,450.7,21555,1.155,58.5,12,4713,4226,0.8,314.2,281.7,-6,1773,408,-5,2676,2613
그어살#KR1,KR_7392289112,Graves,19:04,True,4,1,1,5.0,8704,175,9.18,456.5,538.7,22,1.15,5054,265.1,13102,0.581,38.5,124,5204,6933,8.27,346.9,462.2,36,549,2027,71,2526,4330
그어살#KR1,KR_7297774265,Akali,27:29,False,3,7,4,1.0,9011,159,5.79,327.9,442.0,12,0.44,26406,960.8,33822,2.93,50.0,116,4439,6667,7.73,295.9,444.5,9,384,206,-62,-2569,-4405
그어살#KR1,KR_7297579658,Poppy,22:15,True,8,6,8,2.67,8562,23,1.03,384.8,369.1,63,2.83,15815,710.8,21071,1.847,53.3,18,5188,4364,1.2,345.9,290.9,4,1207,362,2,2006,1464
그어살#KR1,KR_7297558055,Poppy,18:32,True,6,1,11,17.0,7080,13,0.7,382.0,309.3,65,3.51,15438,833.0,12666,2.181,70.8,10,4814,4291,0.67,320.9,286.1,-6,1841,921,-5,3005,1150
허거덩#0303,KR_7858166916,Akali,35:32,False,8,6,5,2.17,16142,304,8.56,454.3,535.5,26,0.73,34274,964.6,37549,2.123,54.2,143,5834,7773,9.53,388.9,518.2,13,745,308,11,-656,-574
허거덩#0303,KR_7825557119,JarvanIV,31:27,True,8,1,20,28.0,17362,237,7.54,552.1,623.9,47,1.49,39635,1260.3,42936,2.283,84.8,100,4883,6134,6.67,325.5,408.9,-6,255,310,53,4291,6263
허거덩#0303,KR_7825448916,Viego,22:39,True,10,4,7,4.25,12000,200,8.83,529.8,638.2,25,1.1,22903,1011.2,27455,1.909,50.0,117,5946,7129,7.8,396.4,475.3,31,1906,897,86,4906,5434
허거덩#0303,KR_7825373136,Ryze,25:16,True,9,1,9,18.0,13911,253,10.01,550.6,695.9,31,1.23,28170,1114.9,18545,2.025,51.4,148,6118,8084,9.87,407.9,538.9,32,954,1562,43,3706,5864
허거덩#0303,KR_7825268802,Orianna,30:51,True,7,5,18,5.0,13774,238,7.71,446.5,634.6,22,0.71,41206,1335.7,31134,2.992,83.3,138,5414,8398,9.2,360.9,559.9,58,1644,1999,71,2679,5965
허거덩#0303,KR_7823909238,Ryze,38:46,True,11,7,11,3.14,20135,368,9.49,519.4,640.6,49,1.26,49125,1267.2,47317,2.44,53.7,131,5285,7407,8.73,352.3,493.8,9,525,371,131,4577,6178
허거덩#0303,KR_7823877005,Orianna,15:12,True,3,0,6,9.0,7268,143,9.41,478.2,534.3,10,0.66,14790,973.0,7142,2.035,45.0,142,6714,8122,9.47,447.6,541.5,28,2614,899,29,2644,899
허거덩#0303,KR_7823794909,Ryze,37:24,True,15,5,9,4.8,22993,394,10.53,614.8,744.2,38,1.02,47011,1257.0,48312,2.045,64.9,146,6338,8121,9.73,422.5,541.4,37,1264,1017,128,6730,9486
허거덩#0303,KR_7823727647,Aurora,27:30,False,12,5,6,3.6,12973,235,8.55,471.7,589.5,31,1.13,39290,1428.7,33448,3.029,69.2,133,6042,8153,8.87,402.8,543.5,42,1834,2280,42,1682,920
허거덩#0303,KR_7818363775,Orianna,36:13,True,12,9,15,3.0,18579,282,7.79,513.0,671.0,33,0.91,43296,1195.5,34169,2.33,73.0,123,5041,6990,8.2,336.1,466.0,-13,-1191,-282,13,3233,6504
허거덩#0303,KR_7816289938,Galio,18:33,True,5,2,3,4.0,7827,147,7.92,421.9,531.1,17,0.92,13458,725.5,17559,1.719,33.3,124,5590,7995,8.27,372.7,533.0,23,494,1354,23,1039,1667
